type,name[2],text[1],linetype[6],layer[8],pt[10],pt[11],real[40],int[70],int[72],int[73],color[62]
SECTION,TABLES,,,,,,,,,,
LTYPE,CONTINUOUS,,,,,,,,,,
LTYPE,DASHED,,,,,,,,,,
LAYER,power,,,,,,,,,,1
LAYER,bus,,,,,,,,,,3
LAYER,control,,,,,,,,,,4
LAYER,elements,,,,,,,,,,1
LAYER,labels,,,,,,,,,,7
LAYER,ground,,,,,,,,,,7
LAYER,_ai,,,,,,,,,,30
ENDSEC,,,,,,,,,,,
SECTION,BLOCKS,,,,,,,,,,
ENDSEC,,,,,,,,,,,
SECTION,ENTITIES,,,,,,,,,,
TEXT,,208V THREE-PHASE DELTA SUPPLY,,labels,"0.25,18",,0.3,,,,
TEXT,,L1,,labels,"2,16.5",,0.2,,,,
TEXT,,L2,,labels,"5,16.5",,0.2,,,,
TEXT,,L3,,labels,"8,16.5",,0.2,,,,
LINE,,,,power,"2,16","2,15",,,,,
LINE,,,,power,"5,16","5,15",,,,,
LINE,,,,power,"8,16","8,15",,,,,
LWPOLYLINE,,,,bus,"1,15 9,15 9,14.5 1,14.5 1,15",,,1,,,
TEXT,,MAIN 3-POLE DISCONNECT,,labels,"5,14.75",,0.2,,1,2,
LINE,,,,power,"2,14.5","2,13.5",,,,,
LINE,,,,power,"5,14.5","5,13.5",,,,,
LINE,,,,power,"8,14.5","8,13.5",,,,,
LINE,,,,bus,"2,13.5","8,13.5",,,,,
LINE,,,,bus,"2,13.5","2,13",,,,,
LINE,,,,bus,"5,13.5","5,13",,,,,
LINE,,,,bus,"2,13","5,13",,,,,
LINE,,,,bus,"3.5,13","3.5,12.75",,,,,
LWPOLYLINE,,,,control,"2.75,12.75 4.25,12.75 4.25,12 2.75,12 2.75,12.75",,,1,,,
TEXT,,Z1 THERMOSTAT,,labels,"3.5,12.55",,0.18,,1,2,
TEXT,,80F / 100F BOOST,,labels,"3.5,12.2",,0.14,,1,2,
LINE,,,,control,"3.5,12","3.5,11.75",,,,,
LWPOLYLINE,,,,control,"2.75,11.75 4.25,11.75 4.25,11.25 2.75,11.25 2.75,11.75",,,1,,,
TEXT,,Z1 CONTACTOR,,labels,"3.5,11.5",,0.18,,1,2,
LINE,,,,control,"3.5,11.25","3.5,11",,,,,
LWPOLYLINE,,,,elements,"2.75,11 4.25,11 4.25,10.25 2.75,10.25 2.75,11",,,1,,,
TEXT,,Z1 ELEMENT,,labels,"3.5,10.75",,0.18,,1,2,
TEXT,,L1-L2  208V,,labels,"3.5,10.45",,0.14,,1,2,
LINE,,,,bus,"5,13.5","5,13",,,,,
LINE,,,,bus,"8,13.5","8,13",,,,,
LINE,,,,bus,"5,13","8,13",,,,,
LINE,,,,bus,"6.5,13","6.5,12.75",,,,,
LWPOLYLINE,,,,control,"5.75,12.75 7.25,12.75 7.25,12 5.75,12 5.75,12.75",,,1,,,
TEXT,,Z2 THERMOSTAT,,labels,"6.5,12.55",,0.18,,1,2,
TEXT,,100F / 110F BOOST,,labels,"6.5,12.2",,0.14,,1,2,
LINE,,,,control,"6.5,12","6.5,11.75",,,,,
LWPOLYLINE,,,,control,"5.75,11.75 7.25,11.75 7.25,11.25 5.75,11.25 5.75,11.75",,,1,,,
TEXT,,Z2 CONTACTOR,,labels,"6.5,11.5",,0.18,,1,2,
LINE,,,,control,"6.5,11.25","6.5,11",,,,,
LWPOLYLINE,,,,elements,"5.75,11 7.25,11 7.25,10.25 5.75,10.25 5.75,11",,,1,,,
TEXT,,Z2 ELEMENT,,labels,"6.5,10.75",,0.18,,1,2,
TEXT,,L2-L3  208V,,labels,"6.5,10.45",,0.14,,1,2,
LINE,,,DASHED,power,"2,13.5","2,9",,,,,
LINE,,,DASHED,power,"8,13.5","8,9",,,,,
LINE,,,,bus,"2,9","8,9",,,,,
LINE,,,,bus,"5,9","5,8.75",,,,,
LWPOLYLINE,,,,control,"4.25,8.75 5.75,8.75 5.75,8 4.25,8 4.25,8.75",,,1,,,
TEXT,,Z3 THERMOSTAT,,labels,"5,8.55",,0.18,,1,2,
TEXT,,120F  DELIVERY GUARANTEE,,labels,"5,8.2",,0.14,,1,2,
LINE,,,,control,"5,8","5,7.75",,,,,
LWPOLYLINE,,,,control,"4.25,7.75 5.75,7.75 5.75,7.25 4.25,7.25 4.25,7.75",,,1,,,
TEXT,,Z3 CONTACTOR,,labels,"5,7.5",,0.18,,1,2,
LINE,,,,control,"5,7.25","5,7",,,,,
LWPOLYLINE,,,,elements,"4.25,7 5.75,7 5.75,6.25 4.25,6.25 4.25,7",,,1,,,
TEXT,,Z3 ELEMENT,,labels,"5,6.75",,0.18,,1,2,
TEXT,,L1-L3  208V,,labels,"5,6.45",,0.14,,1,2,
TEXT,,Z1 (BOTTOM / INLET),,labels,"0.25,11.5",,0.15,,,,
TEXT,,Z2 (MIDDLE),,labels,"0.25,12.5",,0.15,,,,
TEXT,,Z3 (TOP / OUTLET),,labels,"0.25,8",,0.15,,,,
TEXT,,DELTA: NO NEUTRAL REQUIRED,,labels,"0.25,9.5",,0.14,,,,
TEXT,,GND,,ground,"5.1,5.1",,0.18,,,,
LINE,,,,ground,"5,5.5","5,5.25",,,,,
LINE,,,,ground,"4.5,5.25","5.5,5.25",,,,,
LINE,,,,ground,"4.6,5.1","5.4,5.1",,,,,
LINE,,,,ground,"4.7,4.95","5.3,4.95",,,,,
CIRCLE,,,,_ai,"10.5,15",,0.25,,,,
TEXT,,TEST: CIRCLE r=0.25,,_ai,"10.5,15.4",,0.14,,,,
LWPOLYLINE,,,,_ai,"11,13 11.5,13.5 12,13 12.5,13.5 13,13",,,,,,
TEXT,,TEST: OPEN LWPOLYLINE,,_ai,"11,12.7",,0.14,,,,
LWPOLYLINE,,,,_ai,"10,12 10.75,12.75 11.5,12 10,12",,,1,,,
TEXT,,TEST: CLOSED TRIANGLE,,_ai,"10,11.7",,0.14,,,,
LINE,,,DASHED,_ai,"10,11","13,11",,,,,
TEXT,,TEST: DASHED LINE,,_ai,"10,10.7",,0.14,,,,
LWPOLYLINE,,,,_ai,"10,10 13,10 13,9.25 10,9.25 10,10",,,1,,,
TEXT,,TEST: CENTERED TEXT,,_ai,"11.5,9.625",,0.18,,1,2,
ENDSEC,,,,,,,,,,,

#DXF-CSV v1.0 | audience:ai | source:sample_electrical.dwg | sha1:396cb2c5a30e | codes:dxf-2018 | dxfcsv:https://drawingsync.com/dxfcsv/v1.0/spec.md | last-updated:2026-05-04 | units:in | coords:xy z-absent=truly-2D | design:r12-extended | color:aci absent=BYLAYER | missing:linetype=BYLAYER color=BYBLOCK lwt=-3
