type,text[1],name[2],text[3],linetype[6],style[7],layer[8],pt[10],pt[11],pt[12],pt[13],pt[14],pt[15],pt[16],real[40],real[41],real[42],real[43],real[44],real[45],real[46],real[47],real[48],real[49],angle[50],angle[51],angle[52],angle[53],color[62],int[63],seq[66],int[70],int[71],int[72],int[73],int[74],int[75],int[76],int[77],int[78],int[79],long[90],long[91],long[92],long[93],long[94],long[98],real[140],real[141],real[142],real[144],int[170],int[175],int[179],pt[213],char[271],char[272],char[277],char[280],char[281],bool[291],bool[292],string[304],lwt[370],plotst[380],long[420],long[421],trans[440],long[450],long[452],long[453],real[462],real[463],string[470]
SECTION,,TABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTYPE,,CENTER,Center ____ _ ____ _ ____ _ ____ _ ____ _ ____,,,,,,,,,,,2.0,,,,,,,,,"1.25,-0.25,0.25,-0.25",,,,,,,,,,,,"0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTYPE,,DASHED,Dashed __ __ __ __ __ __ __ __ __ __ __ __ __ _,,,,,,,,,,,0.75,,,,,,,,,"0.5,-0.25",,,,,,,,,,,,"0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTYPE,,ZIGZAG,Zig zag /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/,,,,,,,,,,,0.8001000000000001,,,,,,,,,"0.0001,-0.2,-0.4,-0.2",,,,,,,,,,,,"0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,0,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,*ADSK_SYSTEM_LIGHTS,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,polylines,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,_ai,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,r14,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,v2010,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,140,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,r13,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,v2005,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,140,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,v2007,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,140,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,v2018,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,140,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,r12,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,mtext,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,hatches,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,hatches_gradient,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,hatches-solid,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,splines,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,dimensions-arc,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,dimensions,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,siteboundry,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,meshes,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,A-FLOR,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
LAYER,,A-DETL-GENF,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
LAYER,,A-FLOR-PATT,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
LAYER,,mline,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,chroma|GENERIC,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,7,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,text,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYER,,mleader,,Continuous,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE,,Standard,arial.ttf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
