type,text[1],name[2],text[3],linetype[6],layer[8],pt[10],pt[11],pt[12],pt[13],pt[14],elev[38],thick[39],real[40],real[41],real[42],angle[50],angle[51],color[62],seq[66],int[70],int[71],int[72],int[73],int[75],long[90],long[91],long[92],long[93],long[94],long[420],trans[440],real[141],real[142],string[302]
LAYER,,0,,Continuous,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
LAYER,,outline,,Continuous,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
LAYER,,annotation,,Continuous,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
LAYER,,construction,,Continuous,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
LAYER,,3d,,Continuous,,,,,,,,,,,,,,45,,,,,,,,,,,,10780989,,,,
LAYER,,2.5d,,Continuous,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
LAYER,,equipment,,Continuous,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,
SECTION,,BLOCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,,FASTENER,,,0,"0.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCLE,,,,,0,"0.0,0.0,0.0",,,,,,,0.5,,,,,0,,,,,,,,,,,,,,,,
LINE,,,,,0,"-0.7,0.0,0.0","0.7,0.0,0.0",,,,,,,,,,,0,,,,,,,,,,,,,,,,
LINE,,,,,0,"0.0,-0.7,0.0","0.0,0.7,0.0",,,,,,,,,,,0,,,,,,,,,,,,,,,,
ENDBLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,,PART,,,0,"0.0,0.0,0.0",,,,,,,,,,,,,,2,,,,,,,,,,,,,,
LINE,,,,,0,"-2.5,-2.5,0.0","2.5,-2.5,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE,,,,,0,"2.5,-2.5,0.0","2.5,2.5,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE,,,,,0,"2.5,2.5,0.0","-2.5,2.5,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE,,,,,0,"-2.5,2.5,0.0","-2.5,-2.5,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERT,,FASTENER,,,0,"0.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTDEF,ACME-001,PARTNO,Part Number:,,0,"-2.5,-2.5,0.0",,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
ENDBLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDSEC,,BLOCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE,,,,,outline,"0.0,0.0,0.0","10.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT,,,,,construction,"15.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCLE,,,,,outline,"25.0,5.0,0.0",,,,,,,5,,,,,,,,,,,,,,,,,,,,,
ARC,,,,,outline,"35.0,5.0,0.0",,,,,,,5,,,0,180,,,,,,,,,,,,,,,,,
ELLIPSE,,,,,outline,"45.0,5.0,0.0","5.0,0.0,0.0",,,,,,0.5,,6.283185307,,,,,,,,,,,,,,,,,,,
TRACE,,,,,outline,"50.0,0.0,0.0","55.0,0.0,0.0","50.0,2.0,0.0","55.0,2.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,
3DFACE,,,,,3d,"60.0,0.0,0.0","65.0,0.0,0.0","65.0,5.0,2.5","60.0,5.0,2.5",,,,,,,,,,,,,,,,,,,,,,,,,
SOLID,,,,,outline,"70.0,0.0,0.0","75.0,0.0,0.0","70.0,5.0,0.0","75.0,5.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,
LINE,,,,,2.5d,"80.0,0.0,2.5","85.0,0.0,2.5",,,,,2.5,,,,,,,,,,,,,,,,,,,33554470,,,
ARC,,,,,2.5d,"82.5,0.0,0.0",,,,,,5,2.5,,,0,180,,,,,,,,,,,,,,,,,
LWPOLYLINE,,,,,2.5d,"60.0,5.0 65.0,5.0",,,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,
TEXT,Sample Drawing,,,,annotation,"0.0,40.0,0.0",,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,
MTEXT,Multi-line label\Pwith a second line.,,,,annotation,"0.0,35.0,0.0",,,,,,,1,25,,,,,,,1,5,1,,,,,,,,,,,
LWPOLYLINE,,,,,outline,"0.0,15.0 5.0,20.0 10.0,15.0",,,,,,,,,,,,,,0,,,,,,,,,,,,,,
POLYLINE,,,,,outline,"0.0,0.0,0.0",,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
VERTEX,,,,,outline,"15.0,15.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERTEX,,,,,outline,"20.0,15.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERTEX,,,,,outline,"20.0,20.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERTEX,,,,,outline,"15.0,20.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEQEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLINE,,,,,construction,"25.0,15.0,0.0 30.0,25.0,0.0 35.0,25.0,0.0 40.0,15.0,0.0",,,,,,,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0",,,,,,,8,3,,,,,,,,,,,,,
RAY,,,,,construction,"60.0,15.0,0.0","1.0,0.5,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,
XLINE,,,,,construction,"70.0,15.0,0.0","1.0,0.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION,,,Standard,,annotation,"10.0,28.0,0.0","5.0,28.0,0.0",,"0.0,15.0,0.0","10.0,15.0,0.0",,,,,,0,,,,,,,,,,,,,,,,,,
LEADER,,,Standard,,annotation,"15.0,25.0,0.0 19.64,28.0,0.0 20.0,28.0,0.0",,,,,,,,,,,,,,,,,0,1,,,,,,,,,,
TEXT,left (default),,,,annotation,"42.5,21.0,0.0",,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
TEXT,center,,,,annotation,,"50.475443,18.0,0.0",,,,,,0.5,,,,,,,,,1,,,,,,,,,,,,
TEXT,right,,,,annotation,,"58.5,20.5,0.0",,,,,,0.5,,,,,,,,,2,,,,,,,,,,,,
TEXT,top left,,,,annotation,,"42.5,15.0,0.0",,,,,,0.5,,,,,,,,,,3,,,,,,,,,,,
TEXT,top center,,,,annotation,,"44.0,18.5,0.0",,,,,,0.5,,,,,,,,,1,3,,,,,,,,,,,
TEXT,top right,,,,annotation,,"58.5,18.5,0.0",,,,,,0.5,,,,,,,,,2,3,,,,,,,,,,,
TEXT,middle center,,,,annotation,,"50.5,15.0,0.0",,,,,,0.5,,,,,,,,,1,2,,,,,,,,,,,
TEXT,bottom right,,,,annotation,,"58.5,15.0,0.0",,,,,,0.5,,,,,,,,,2,1,,,,,,,,,,,
MESH,,,,,3d,"90.0,0.0,0.0 95.0,0.0,0.0 95.0,5.0,0.0 90.0,5.0,0.0 92.5,2.5,2.5",,,,,,,,,,,,,,,,,,,"3,4,0,1,3,4,1,2,3,4,2,3,3,4,3,0",,,16,0,,,,,
INSERT,,FASTENER,,,0,"40.0,30.0,0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSERT,,PART,,,equipment,"50.0,30.0,0.0",,,,,,,,,,,,,1,,,,,,,,,,,,,,,
ATTRIB,ACME-001,PARTNO,,,0,"47.5,27.5,0.0",,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
SEQEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAD_TABLE,A1	B1	A2	B2,,,,annotation,"100.0,0.0,0.0","1.0,0.0,0.0",,,,,,,,,,,,,,,,,,"22,4,4,4,4","2,262144,262144,262144,262144",2,"0,6,6,6,6",,,,"1.0,1.0","3.0,3.0",A1	B1	A2	B2
ENDSEC,,ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

#DXF-CSV v1.0 | audience:ai | source:sample_entities.dwg | sha1:000000000000 | codes:dxf-2018 | dxfcsv:https://drawingsync.com/dxfcsv/v1.0/spec.md | last-updated:2026-06-22 | units:in | coords:xyz | design:r12-extended | color:aci absent=BYLAYER | missing:linetype=BYLAYER color=BYBLOCK lwt=-3
#DXF-CSV-cond | blocks:inline | seq[66]:sequence-follows | mesh:subdiv

