type,text[1],name[2],layer[8],pt[10],real[40],real[41],real[44],real[45],real[46],color[62],int[63],int[70],int[71],int[72],int[73],long[90]
LAYER,,0,,,,,,,,,,,,,,
LAYER,,ELEMENTS,,,,,,,,,,,,,,
LAYER,,LABELS,,,,,,,,,,,,,,
LAYER,,GRID,,,,,,,,,,,,,,
LAYER,,_ai,,,,,,,,30,,1,,,,
SECTION,,ENTITIES,,,,,,,,,,,,,,
MTEXT,\H2.2x;Periodic Table of the Elements,,LABELS,"0.000,85.000,0.0",2.2,180.0,,,3.0,,,,1,1,1,
TEXT,"MTEXT background fill: long[90] selects a background-fill tail shape, not a uniform on/off flag. long[90]==2 ('use drawing background color') accepts (90) alone, no further fields. Any other non-zero value (this file uses 1) gets the full (90)(63)(45)(441) tail. real[45] in that tail is a fill SCALE factor (valid ~1.0-1.5), not a height -- cell height comes from real[46].",,_ai,"0.000,75.000,0.0",0.5,,,,,,,,,,,
TEXT,"MTEXT multi-line cells: ^J (the two literal characters caret+J, produced by Shift+Enter in AutoCAD's editor) is a soft line break within the current paragraph and responds cleanly to \H height scaling. \P (plain Enter) starts a new paragraph governed by AutoCAD's 'Paragraph Line Spacing' model, which resists tight vertical compression. ^J is what makes the 3-line number/symbol/name layout fit a fixed-height cell. \pxa0.25,se0.4; (an inline serialization of the documented Paragraph dialog Space Before/After feature -- see https://help.autodesk.com/view/ACD/2027/ENU/?guid=GUID-90F5A530-BB66-4264-86F0-D5F670EC8519 ) is a secondary refinement layered on top of ^J, not load-bearing by itself.",,_ai,"0.000,73.500,0.0",0.5,,,,,,,,,,,
TEXT,"MTEXT cell geometry: 10x10 unit cells, insertion point at cell CENTER, middle-center attachment (int[71]=5). real[44]=0.35 (tightened line spacing) fits three lines without overflow.",,_ai,"0.000,72.000,0.0",0.5,,,,,,,,,,,
TEXT,"long text overflow: Element names up to 13 chars (e.g. Rutherfordium) can overflow a 10-unit cell width at full scale. \W<factor>; applied once name length exceeds 11 chars, scaling continuously rather than a hard cutoff, so longer names compress gracefully instead of wrapping or truncating.",,_ai,"0.000,70.500,0.0",0.5,,,,,,,,,,,
TEXT,"coordinate convention: Bottom-left origin, Y increasing upward, all-positive x/y for the main grid; legend and note-like content sit in -y.",,_ai,"0.000,69.000,0.0",0.5,,,,,,,,,,,
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;1^J^J}H^J{\H0.33333x;Hydrogen}",,ELEMENTS,"5.000,65.000,0.0",3.00,10.00,0.35,1.0,10.00,,3,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;2^J^J}He^J{\H0.33333x;Helium}",,ELEMENTS,"175.000,65.000,0.0",3.00,10.00,0.35,1.0,10.00,,5,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;3^J^J}Li^J{\H0.33333x;Lithium}",,ELEMENTS,"5.000,55.000,0.0",3.00,10.00,0.35,1.0,10.00,,1,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;4^J^J}Be^J{\H0.33333x;Beryllium}",,ELEMENTS,"15.000,55.000,0.0",3.00,10.00,0.35,1.0,10.00,,30,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;5^J^J}B^J{\H0.33333x;Boron}",,ELEMENTS,"125.000,55.000,0.0",3.00,10.00,0.35,1.0,10.00,,91,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;6^J^J}C^J{\H0.33333x;Carbon}",,ELEMENTS,"135.000,55.000,0.0",3.00,10.00,0.35,1.0,10.00,,3,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;7^J^J}N^J{\H0.33333x;Nitrogen}",,ELEMENTS,"145.000,55.000,0.0",3.00,10.00,0.35,1.0,10.00,,3,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;8^J^J}O^J{\H0.33333x;Oxygen}",,ELEMENTS,"155.000,55.000,0.0",3.00,10.00,0.35,1.0,10.00,,3,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;9^J^J}F^J{\H0.33333x;Fluorine}",,ELEMENTS,"165.000,55.000,0.0",3.00,10.00,0.35,1.0,10.00,,90,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;10^J^J}Ne^J{\H0.33333x;Neon}",,ELEMENTS,"175.000,55.000,0.0",3.00,10.00,0.35,1.0,10.00,,5,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;11^J^J}Na^J{\H0.33333x;Sodium}",,ELEMENTS,"5.000,45.000,0.0",3.00,10.00,0.35,1.0,10.00,,1,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;12^J^J}Mg^J{\H0.33333x;Magnesium}",,ELEMENTS,"15.000,45.000,0.0",3.00,10.00,0.35,1.0,10.00,,30,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;13^J^J}Al^J{\H0.33333x;Aluminium}",,ELEMENTS,"125.000,45.000,0.0",3.00,10.00,0.35,1.0,10.00,,170,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;14^J^J}Si^J{\H0.33333x;Silicon}",,ELEMENTS,"135.000,45.000,0.0",3.00,10.00,0.35,1.0,10.00,,91,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;15^J^J}P^J{\H0.33333x;Phosphorus}",,ELEMENTS,"145.000,45.000,0.0",3.00,10.00,0.35,1.0,10.00,,3,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;16^J^J}S^J{\H0.33333x;Sulfur}",,ELEMENTS,"155.000,45.000,0.0",3.00,10.00,0.35,1.0,10.00,,3,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;17^J^J}Cl^J{\H0.33333x;Chlorine}",,ELEMENTS,"165.000,45.000,0.0",3.00,10.00,0.35,1.0,10.00,,90,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;18^J^J}Ar^J{\H0.33333x;Argon}",,ELEMENTS,"175.000,45.000,0.0",3.00,10.00,0.35,1.0,10.00,,5,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;19^J^J}K^J{\H0.33333x;Potassium}",,ELEMENTS,"5.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,1,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;20^J^J}Ca^J{\H0.33333x;Calcium}",,ELEMENTS,"15.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,30,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;21^J^J}Sc^J{\H0.33333x;Scandium}",,ELEMENTS,"25.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
MTEXT,"\pxa0.25,se0.4;{\H0.33333x;22^J^J}Ti^J{\H0.33333x;Titanium}",,ELEMENTS,"35.000,35.000,0.0",3.00,10.00,0.35,1.0,10.00,,150,,5,1,1,1
